Track Number,Velocity [µm/min]
1,0.900
2,0.360
3,1.100
4,0.350
5,0.130
6,1.320
7,0.870
8,0.280
9,1.150
10,1.650
11,1.030
12,0.500
13,1.150
14,0.650
15,1.410
16,0.970
17,0.890
18,0.610
19,0.890
20,0.130
21,0.610
22,2.080
23,0.240
24,1.140
25,0.490
26,1.770
27,1.210
28,1.400
29,0.750
30,0.470
31,0.870
32,1.390
33,1.430
34,1.550
35,0.090
36,0.850
37,1.350
38,0.360
39,0.770
40,1.100
41,0.980
42,1.500
43,0.400
44,1.110
45,1.300
46,0.260
47,0.580
48,0.840
49,0.690
50,0.040
51,0.320
52,0.500
53,0.230
54,0.490
55,0.950
56,0.990
57,0.200
58,0.110
59,0.060
60,1.290
61,1.020
62,0.210
63,0.410
64,0.690
65,0.600
66,0.350
67,0.740
68,0.920
69,0.580
