Track Number,Accumulated distance [µm],Euclidean distance [µm]
1,192.980,55.280
2,460.410,48.870
3,373.680,53.920
4,93.970,38.870
5,210.710,8.870
6,77.950,14.040
7,288.260,33.540
8,364.840,2.960
9,83.340,12.800
10,297.590,59.560
11,170.720,11.200
12,30.510,16.370
13,13.020,1.120
14,365.640,77.680
15,46.180,7.700
16,43.850,14.650
17,166.400,59.030
18,29.400,0.370
19,419.740,22.760
20,270.980,73.040
21,157.520,69.890
22,111.940,4.080
23,138.820,1.860
24,172.290,24.200
25,134.830,27.920
26,179.410,73.440
27,22.760,2.850
